Cleaned_Tweets,Retweets,Likes,Date
Concerning,332,4442,10/14/2022 23:13
Are there citizens of nations who are helping Ukraine on this list?,478,4759,10/14/2022 21:50
"But surely no reasonable person would launch nuclear war?The problem with that logic is if we were dealing with reasonable people, we wouldn’t have war in the first place.",2232,17837,10/14/2022 21:39
Is this list real? What’s the URL?,1686,14630,10/14/2022 21:02
Yay!!,2880,25249,10/14/2022 20:56
People should never fear turbulence. Commercial airliner wings can handle insane amounts of bending.,3805,87629,10/14/2022 16:22
The right question to ask,3240,50103,10/14/2022 14:43
We’re just following his recommendation ,18937,233536,10/14/2022 7:14
"Falcon can probably get Starlink past breakeven, but Starship is needed to fund Mars",224,3895,10/14/2022 6:48
Yes,125,2736,10/14/2022 6:45
"In addition to terminals, we have to create, launch, maintain &amp; replenish satellites &amp; ground stations &amp; pay telcos for access to Internet via gateways. We’ve also had to defend against cyberattacks &amp; jamming, which are getting harder.Burn is approaching ~$20M/month.",1114,8152,10/14/2022 6:44
"Also, Starlink is still losing money! It is insanely difficult for a LEO communications constellation to avoid bankruptcy – that was the fate of every company that tried this before.When asked what the goal of Starlink was at a space conference, I said “not go bankrupt”.",473,5464,10/14/2022 6:35
Maybe the  got their ,262,4649,10/14/2022 6:29
Very few in Iran so far,133,2501,10/14/2022 6:28
"Strange that nothing was leaked about our competitors in space launch &amp; communications, Lockheed &amp; Boeing, who get over $60B …Wouldn’t be surprised to find this particular individual working there when he retires from DoD. Corruption at its finest.",1181,8437,10/14/2022 6:21
"SpaceX is not asking to recoup past expenses, but also cannot fund the existing system indefinitely *and* send several thousand more terminals that have data usage up to 100X greater than typical households. This is unreasonable.",666,6314,10/14/2022 6:07
Vital to the future of consciousness,659,12971,10/13/2022 19:27
srsly,195,6011,10/13/2022 17:31
Next week,203,3962,10/13/2022 16:53
Envy has driven him to madness,1179,27020,10/13/2022 16:49
"Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.",234,3277,10/13/2022 16:44
TRUE,83,2199,10/13/2022 16:34
There are some active terminals,758,4588,10/13/2022 16:32
"Of course, this happens almost every day. They successfully destroyed Viasat in Ukraine several months ago.",101,1323,10/13/2022 16:30
"Starlink has faced relentless jamming attacks &amp; SpaceX relentless cyberwar. So far, their success has been limited.",325,3308,10/13/2022 16:20
Noted,497,5328,10/13/2022 14:57
Starlink data usage growth in Ukraine,567,6071,10/13/2022 14:53
"20,000!!",10277,196336,10/13/2022 2:50
Cool,192,6502,10/13/2022 0:58
Maybe with .3,66,1622,10/13/2022 0:56
